"station","lat","lon","elev","depth","t.lm","t.rf","t.rflm"
"USC00208417",45.1703,-84.4397,275.8,10,9.26702078997733,8.58592585667524,8.3943649762566
"USC00208417",45.1703,-84.4397,275.8,50,9.03562196148758,8.50275904154945,8.1570336578791
"USC00208443",43.3656,-83.5828,192,0,9.0204959123704,8.56425504963322,8.4051976496226
"USC00208443",43.3656,-83.5828,192,10,11.3743784008179,10.7007013281002,10.8377094401726
"USC00208443",43.3656,-83.5828,192,50,11.1429795723281,10.5899199523862,10.6316285343049
"USC00208800",44.2542,-84.2011,269.7,0,7.76547356251552,7.29336205699576,7.25378988503561
"USC00208800",44.2542,-84.2011,269.7,10,10.119356050963,9.56908701247736,9.71600569908912
"USC00208800",44.2542,-84.2011,269.7,50,9.88795722247325,9.32922761455009,9.53331582017874
"USW00014814",45.0606,-83.4281,179.8,0,7.52986272733191,7.50015891878437,7.51649570931794
"USW00014814",45.0606,-83.4281,179.8,10,9.8837452157794,9.33031897729217,9.92346488270295
"USW00014814",45.0606,-83.4281,179.8,50,9.65234638728965,9.32563343509424,9.68445189305996
"USW00014817",44.2656,-85.3967,394.7,0,7.06897894429398,7.05621170943693,7.11499931607708
"USW00014817",44.2656,-85.3967,394.7,10,9.42286143274147,8.74688819912118,9.41860146184851
"USW00014817",44.2656,-85.3967,394.7,50,9.19146260425172,8.3959530227456,9.22899668829488
"USW00014822",42.4072,-83.0089,189.9,0,9.84689145856395,10.8078432971713,10.8667894025803
"USW00014822",42.4072,-83.0089,189.9,10,12.2007739470114,12.1114316308037,13.0801781741563
"USW00014822",42.4072,-83.0089,189.9,50,11.9693751185217,11.9688161531745,12.8449146651372
"USW00014826",42.9669,-83.75,234.7,0,9.12389354911901,9.48403468899551,9.5851138987699
"USW00014826",42.9669,-83.75,234.7,10,11.4777760375665,11.3424632877962,11.8203292228836
"USW00014826",42.9669,-83.75,234.7,50,11.2463772090767,11.0575965455294,11.6149225684541
"USW00014828",43.9758,-84.4908,236.2,0,8.27427055208442,7.97775647572599,8.0271641906392
