"station","lat","lon","elev","t2010.rf","t1990.rf","dt.open.rf","dt.forest.rf","t1990","t2010","dt.open","dt.forest","soilopen1990","soilopen2010","soilforest1990","soilforest2010"
"kalamazoo",42.3546,-85.5855,268,9.10086426780597,8.67636172761726,1.86395301799283,1.1249273193142,NA,NA,2.02855380560984,1.30707819012804,10.7049155332271,11.1294180734158,9.98343991774531,10.407942457934
"kalkaska",44.6555,-85.0743,351,6.64842785489267,6.34758835445879,2.33913755359651,1.51892723267847,NA,NA,3.11941392123924,2.06964878887032,9.46700227569802,9.7678417761319,8.41723714332911,8.71807664376298
"kentcity",43.2463,-85.7718,290,8.6391375413553,8.25132592261067,1.73339975191423,0.970429390129592,NA,NA,1.56637057930906,0.907909065717025,9.81769650191973,10.2055081206644,9.1592349883277,9.54704660707232
"kewadin",44.9526,-85.3347,238,7.56304145503442,7.1068222742418,2.09562023118238,1.24150421623617,NA,NA,1.69841872665796,0.627005589140472,8.80524100089976,9.26146018169237,7.73382786338228,8.19004704417489
"linwood",43.7199,-84.0275,188,7.98849748329098,7.84859441839868,1.98930274791898,1.04336110598294,NA,NA,1.98682311535221,0.894208538262163,9.83541753375089,9.9753205986432,8.74280295666084,8.88270602155315
"ludington",43.9043,-86.3798,200,8.04041140254279,7.7595737518867,2.27339702034515,1.37026727948472,NA,NA,2.46539198675444,1.51718973790763,10.2249657386411,10.5058033892972,9.27676348979433,9.55760114045042
"mcbain",44.1861,-85.1251,360,6.90520364590781,6.6219496401828,2.20328575705007,1.31039873116945,NA,NA,2.14354022520498,1.40943742051626,8.76548986538778,9.04874387111279,8.03138706069906,8.31464106642408
"mears",43.6834,-86.4107,229,8.24472268744701,8.08958459485707,2.15325790128608,1.26742473678622,NA,NA,1.96400350796716,0.9803879658832,10.0535881028242,10.2087261954142,9.06997256074026,9.22511065333021
"mecosta",43.5653,-85.2449,305,8.49055587927197,8.08565069916183,1.75892982916744,1.04698137270648,NA,NA,1.89916747267959,1.17070540698949,9.98481817184141,10.3897233519516,9.25635610615132,9.66126128626146
"mountpleasant",43.5759,-84.7737,242,8.37499404635463,8.12667380344682,1.85084908865033,1.10353525359276,NA,NA,1.93148284576291,1.1069408752583,10.0581566492097,10.3064768921175,9.23361467870512,9.48193492161294
