"station","lat","lon","elev","depth","forest","t.rf","t.best","t"
"USC00208443",43.3656,-83.5828,192,10,"forest",9.35425904622312,9.35425904622312,NA
"USC00208443",43.3656,-83.5828,192,10,"open",9.50531933366291,9.50531933366291,NA
"USC00208443",43.3656,-83.5828,192,50,"forest",9.53208412548408,9.53208412548408,NA
"USC00208443",43.3656,-83.5828,192,50,"open",9.69568350868879,9.69568350868879,NA
"USC00208800",44.2542,-84.2011,269.7,0,"open",6.70054971214844,6.73836670904752,6.72869342043864
"USC00208800",44.2542,-84.2011,269.7,10,"forest",8.24475990986312,8.24475990986312,NA
"USC00208800",44.2542,-84.2011,269.7,10,"open",8.36388416170426,8.36388416170426,NA
"USC00208800",44.2542,-84.2011,269.7,50,"forest",8.29095859745791,8.29095859745791,NA
"USC00208800",44.2542,-84.2011,269.7,50,"open",8.44762509824803,8.44762509824803,NA
"USW00014814",45.0606,-83.4281,179.8,0,"open",6.7002510140776,6.71488269850123,6.68761614265603
"USW00014814",45.0606,-83.4281,179.8,10,"forest",8.22366733586178,8.22366733586178,NA
"USW00014814",45.0606,-83.4281,179.8,10,"open",8.27845824056615,8.27845824056615,NA
"USW00014814",45.0606,-83.4281,179.8,50,"forest",8.3294696848769,8.3294696848769,NA
"USW00014814",45.0606,-83.4281,179.8,50,"open",8.40588815527839,8.40588815527839,NA
"USW00014817",44.2656,-85.3967,394.7,0,"open",6.04442177299793,5.9269760662711,5.76770519578313
"USW00014817",44.2656,-85.3967,394.7,10,"forest",7.79278711506002,7.79278711506002,NA
"USW00014817",44.2656,-85.3967,394.7,10,"open",8.05907195024705,8.05907195024705,NA
"USW00014817",44.2656,-85.3967,394.7,50,"forest",7.6780593221178,7.6780593221178,NA
"USW00014817",44.2656,-85.3967,394.7,50,"open",7.99279359910544,7.99279359910544,NA
"USW00014822",42.4072,-83.0089,189.9,0,"open",10.130955536651,10.1532693084502,10.1663006679477
"USW00014822",42.4072,-83.0089,189.9,10,"forest",11.1814248413433,11.1814248413433,NA
