"station","lat","lon","elev","t0112","p0112","depth","forest","t.2022","t.2010","t.1990","d2010","d1990","d1990.rf","d2010.rf","d1990.best","d2010.best","t.50","t50.1990","t50.2010"
"gaylord",45.0315,-84.8481,434,5.91499996185303,894.989990234375,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.2,-0.5,-0.2,9.1,8.5,8.9
"grant",43.3232,-85.8484,241,8.21166706085205,915.640014648438,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.4,-0.6,-0.4,11.1,10.5,10.7
"hart",43.7366,-86.3594,233,8.01500034332275,936.059997558594,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.4,-0.6,-0.4,11,10.4,10.6
"haslett",42.7703,-84.3297,281,8.60791683197021,838.109985351562,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.5,-0.8,-0.5,11.4,10.6,10.9
"hastings",42.535,-85.3019,283,9.21833324432373,939.97998046875,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.5,-0.8,-0.5,11.5,10.7,11
"hawks",45.2994,-83.8528,252,6.37083339691162,747.349975585938,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.2,-0.6,-0.2,9.7,9.1,9.5
"ithaca",43.3154,-84.4884,218,8.42791652679443,836.559997558594,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,10.9,10.2,10.5
"kalamazoo",42.3546,-85.5855,268,9.39875030517578,981.929992675781,NA,NA,NA,NA,NA,NA,NA,-0.9,-0.5,-0.9,-0.5,12.1,11.2,11.5
"kalkaska",44.6555,-85.0743,351,6.15083312988281,832.929992675781,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.3,-0.7,-0.3,9.7,9,9.3
"kentcity",43.2463,-85.7718,290,8.16916656494141,931.25,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.4,-0.6,-0.4,11,10.3,10.6
"kewadin",44.9526,-85.3347,238,7.42374992370605,810.119995117188,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.3,-0.7,-0.3,10.6,9.9,10.3
"linwood",43.7199,-84.0275,188,8.42666721343994,791.779968261719,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.4,-0.8,-0.4,10.7,9.9,10.3
"ludington",43.9043,-86.3798,200,7.97625017166138,892.909973144531,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,10.8,10.1,10.4
"mcbain",44.1861,-85.1251,360,6.43166637420654,825.460021972656,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,9.1,8.4,8.7
"mears",43.6834,-86.4107,229,8.10916614532471,942.52001953125,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.4,-0.6,-0.4,10.8,10.2,10.4
"mecosta",43.5653,-85.2449,305,7.40708351135254,869.580017089844,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,10.3,9.7,10
"mountpleasant",43.5759,-84.7737,242,8.08916664123535,815.159973144531,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.4,-0.6,-0.4,11.1,10.4,10.7
"msuhort",42.6734,-84.487,264,8.59916687011719,834.800048828125,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.5,-0.8,-0.5,11.3,10.5,10.8
"msuhtrc",42.711,-84.476,257,8.59749984741211,832.789978027344,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.5,-0.8,-0.5,11.2,10.4,10.7
"ncmc",45.3558,-84.9371,233,6.80875015258789,820.059997558594,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.3,-0.6,-0.3,9.3,8.7,9
"newera",43.5609,-86.3777,269,7.90750026702881,894,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,10.8,10.1,10.4
"northport",45.1359,-85.651,236,7.39874982833862,783.659973144531,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.3,-0.7,-0.3,9.6,8.8,9.2
"nwmhrs",44.8831,-85.6777,247,7.80541658401489,795.47998046875,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.3,-0.7,-0.3,10.5,9.8,10.2
"oldmission",44.932,-85.4996,219,7.39416646957397,802.799987792969,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.3,-0.7,-0.3,10.7,9.9,10.3
"onekama",44.4165,-86.2131,247,7.85833311080933,867.099975585938,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,10.4,9.7,10
"southhaven",42.3579,-86.2894,189,9.48291683197021,876.029968261719,NA,NA,NA,NA,NA,NA,NA,-1,-0.6,-1,-0.6,12.7,11.7,12
"standale",42.9557,-85.7521,226,8.60666656494141,922.609985351562,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.5,-0.8,-0.5,11.8,11.1,11.4
"westolive",42.9715,-86.0765,194,9.19291687011719,912.019958496094,NA,NA,NA,NA,NA,NA,NA,-0.9,-0.5,-0.9,-0.5,12,11.1,11.5
"williamsburg20",44.8153,-85.4445,213,7.59208345413208,798.900024414062,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.3,-0.8,-0.3,10.2,9.4,9.8
"wmich",42.256,-85.6395,284,9.67624950408936,987.260009765625,NA,NA,NA,NA,NA,NA,NA,-1,-0.6,-1,-0.6,12.1,11.1,11.5
